blue|NMAP - Ping Sweep|nmap -sn -PE <IP_RANGE>
blue|NMAP - Open Ports|nmap --open <IP_RANGE>
blue|NMAP - Service Version|nmap -sV <IP>
blue|NMAP - TCP+UDP Scan|nmap -v -Pn -sU -sT -p U:53,111,137,T:21-25,80,139,8080 <IP>
blue|NMAP - Aggressive|nmap -A -T4 <IP_RANGE>
blue|NMAP - Vuln Scripts|nmap --script=vuln <IP>
blue|NMAP - OS Detection|nmap -O -sV <IP>
blue|Nessus - Batch Scan|nessus -q -x -T html <SERVER> <PORT> <USER> <PASS> targets.txt out.html
blue|OpenVAS - Update DB|openvas-nvt-sync
blue|OpenVAS - Run Scan|openvas-client -q 127.0.0.1 9390 sysadm nsrc+ws scanme.txt out.txt -T txt -V -x
blue|Windows - Net View|net view /all
blue|Windows - Ping Sweep|for /L %I in (1,1,254) do ping -w 30 -n 1 192.168.1.%I | find "Reply" >> out.txt
blue|Windows - DHCP Logging|reg add HKLM\System\CurrentControlSet\Services\DhcpServer\Parameters /v ActivityLogFlag /t REG_DWORD /d 1
blue|Windows - DNS Logging|DNSCmd <SERVER> /config /logLevel 0x8100F331
blue|Windows - Hash File (FCIV)|fciv.exe <FILE>
blue|Windows - Hash File (PS)|Get-FileHash -Algorithm SHA256 <FILE>
blue|Windows - Hash File (certutil)|certutil -hashfile <FILE> SHA256
blue|Windows - NetBIOS Scan|nbtstat -A <IP>
blue|Windows - NetBIOS Loop|for /L %I in (1,1,254) do nbtstat -An 192.168.1.%I
blue|Windows - User Activity (PSLoggedOn)|psloggedon \\computername
blue|Windows - MBSA Scan|mbsacli.exe /target <IP> /n os+iis+sql+password
blue|Windows - Netdom Query DC|netdom query DC
blue|Windows - Netdom Query Trust|netdom query TRUST
blue|Windows - DSQUERY Computers|dsquery COMPUTER "OU=servers,DC=<DOMAIN>,DC=<EXT>" -o rdn
blue|Linux - SMB Tree Scan|smbtree -b
